acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.29,0.43,0.83,0.41,1.54,1.27
0.29,0.44,0.84,0.63,1.4,1.65
0.29,0.44,0.83,0.7,1.44,2.4
0.29,0.44,0.83,1.36,1.16,2.82
0.29,0.44,0.83,1.53,1.15,3.24
0.3,0.44,0.83,1.5,1.02,3.39
0.29,0.43,0.83,2.24,0.61,2.96
0.29,0.44,0.82,2.21,-0.03,2.9
0.3,0.45,0.82,1.5,-0.29,3.44
0.3,0.45,0.82,1.01,0.53,2.67
0.3,0.44,0.83,0.38,0.44,2.41
0.29,0.43,0.82,0.31,0.14,2.05
0.3,0.43,0.82,0.47,0.35,1.54
0.3,0.44,0.83,0.17,0.18,1.42
0.3,0.44,0.83,-0.03,0.15,1.59
0.31,0.44,0.83,-0.85,0.53,1.54
0.29,0.45,0.83,-0.92,0.89,1.13
0.29,0.44,0.83,-0.52,0.37,1.27
